voicing_id,voicing_name,chord_quality,category,existing_tags,agent_proposed_voicingStyle,agent_proposed_playStyle,agent_confidence,agent_reasoning,voter1_verdict,voter1_override_reason,voter1_additions,voter1_notes,voter2_verdict,voter2_override_reason,voter2_additions,voter2_notes,voter3_verdict,voter3_override_reason,voter3_additions,voter3_notes
c13b9-cm6-altered-6str-26,C13b9 — Fret 5 — Altered (6th on top),13b9,altered,"calculated, laukens-coverage","dirk-laukens, chord-function-driven, function-assigned, substitution-derivation",altered-dominant,MED,dirk-laukens (MED): master 'dirk-laukens' (id-as-tag) | chord-function-driven (MED): discriminating tag 'chord-function-driven' | function-assigned (MED): discriminating tag 'func…,,,,,,,,,,,,
caug7-cm6-drop2-b7top-6,Caug7 — Fret 5 — Drop 2,aug7,drop2,"chord-melody, melody-b7",,"drop-2, block",MED,drop-2 (MED): derived from category='drop2' | block (MED): derived from category='drop2',,,,,,,,,,,,
c7-cm7-drop3-7str-7,C7 — 7-str bass — Drop 3,dom7,drop3,"drop3, 7-string, van-eps","drop-3, van-eps",,HIGH,"drop-3 (MED): existing tag 'drop-3' (generic descriptor) confirmed by master signal in same voicing; vocab attributes to ['jody-fisher', 'joe-pass'] | van-eps (HIGH): existing voi…",,,,,,,,,,,,
cdim7-drop3-a-shape-6-cm6,Cdim7 — A shape — Drop 3 (b5 on top),dim7,drop3,"drop3, a-string-root",,drop-3,MED,drop-3 (MED): derived from category='drop3',,,,,,,,,,,,
c13sus4-cm6-extended-6str-18,C13sus4 — Fret 8 — Extended (root on top),13sus4,extended,"calculated, laukens-coverage","dirk-laukens, chord-function-driven, function-assigned, substitution-derivation",,MED,dirk-laukens (MED): master 'dirk-laukens' (id-as-tag) | chord-function-driven (MED): discriminating tag 'chord-function-driven' | function-assigned (MED): discriminating tag 'func…,,,,,,,,,,,,
cdim7-chordsdb-f1-6,Cdim7 — Fret 1 — Extended,dim7,extended,"imported, chords-db",,,NONE,,,,,,,,,,,,,
cquartal-a-lower-6-cm6,Cquartal — Str 2-3-4-5 — Quartal (root on top),quartal,quartal,"quartal, c-dorian, str-2-3-4-5",quartal,,HIGH,quartal (HIGH): existing voicing.tags='quartal' matches master voicingStyleTag (attributes to ['jim-hall']),,,,,,,,,,,,
cdim7-cm7-shell-7str-7,Cdim7 — 7-str root — Shell (bb7 on top),dim7,shell,"shell, 7-string, van-eps","shell, van-eps",,HIGH,shell (MED): existing tag 'shell' (generic descriptor) confirmed by master signal in same voicing; vocab attributes to ['peter-bernstein'] | van-eps (HIGH): existing voicing.tags=…,,,,,,,,,,,,
cdom7-shell-a-shape-6-cm6,C7 — A shape — Shell (b7 on top),dom7,shell,shell,shell,,MED,shell (MED): existing tag 'shell' + category=shell + quality='dom7' matches bernstein R-3-7 shell principle,,,,,,,,,,,,
caug7-cm6-shell-a-6,Caug7 — A shape — Shell (b7 on top),aug7,shell,shell,,,NONE,,,,,,,,,,,,,
c13b9-cm7-altered-7str-28,C13b9 — Fret 2 — Altered (3rd on top),13b9,altered,"calculated, laukens-coverage","dirk-laukens, chord-function-driven, function-assigned, substitution-derivation",altered-dominant,MED,dirk-laukens (MED): master 'dirk-laukens' (id-as-tag) | chord-function-driven (MED): discriminating tag 'chord-function-driven' | function-assigned (MED): discriminating tag 'func…,,,,,,,,,,,,
caug7-cm6-drop2-1top-6,Caug7 — Fret 8 — Drop 2,aug7,drop2,"chord-melody, melody-root",,"drop-2, block",MED,drop-2 (MED): derived from category='drop2' | block (MED): derived from category='drop2',,,,,,,,,,,,
c7-cv7-drop3-7str-7,C7 — 7-str bass — Drop 3,dom7,drop3,"drop3, 7-string, van-eps","drop-3, van-eps",,HIGH,"drop-3 (MED): existing tag 'drop-3' (generic descriptor) confirmed by master signal in same voicing; vocab attributes to ['jody-fisher', 'joe-pass'] | van-eps (HIGH): existing voi…",,,,,,,,,,,,
cdim7-drop3-a-shape-7-cm7,Cdim7 — A shape — Drop 3 (b5 on top),dim7,drop3,"drop3, a-string-root, 7-string",,drop-3,MED,drop-3 (MED): derived from category='drop3',,,,,,,,,,,,
c13sus4-cm7-extended-7str-20,C13sus4 — Fret 1 — Extended (4th on top),13sus4,extended,"calculated, laukens-coverage","dirk-laukens, chord-function-driven, function-assigned, substitution-derivation",,MED,dirk-laukens (MED): master 'dirk-laukens' (id-as-tag) | chord-function-driven (MED): discriminating tag 'chord-function-driven' | function-assigned (MED): discriminating tag 'func…,,,,,,,,,,,,
cdim7-chordsdb-f2-6,Cdim7 — Fret 2 — Extended,dim7,extended,"imported, chords-db",,,NONE,,,,,,,,,,,,,
cquartal-bb-lower-6-cm6,Cquartal — Str 2-3-4-5 — Quartal (9th on top),quartal,quartal,"quartal, c-dorian, str-2-3-4-5",quartal,,HIGH,quartal (HIGH): existing voicing.tags='quartal' matches master voicingStyleTag (attributes to ['jim-hall']),,,,,,,,,,,,
cdim7-cv7-shell-7str-7,Cdim7 — 7-str root — Shell (bb7 on top),dim7,shell,"shell, 7-string, van-eps","shell, van-eps",,HIGH,shell (MED): existing tag 'shell' (generic descriptor) confirmed by master signal in same voicing; vocab attributes to ['peter-bernstein'] | van-eps (HIGH): existing voicing.tags=…,,,,,,,,,,,,
c7-shell-a-shape-6-cm6,C7 — A shape — Shell (3rd on top),dom7,shell,"shell, guide-tone, a-string-root",shell,,MED,shell (MED): existing tag 'shell' + category=shell + quality='dom7' matches bernstein R-3-7 shell principle,,,,,,,,,,,,
caug7-shell-a-shape-6-cm6,Caug7 — A shape — Shell (3rd on top),aug7,shell,"shell, a-string-root",,,NONE,,,,,,,,,,,,,
c13b9-cv6-altered-6str-25,C13b9 — Fret 5 — Altered (6th on top),13b9,altered,"calculated, laukens-coverage","dirk-laukens, chord-function-driven, function-assigned, substitution-derivation",altered-dominant,MED,dirk-laukens (MED): master 'dirk-laukens' (id-as-tag) | chord-function-driven (MED): discriminating tag 'chord-function-driven' | function-assigned (MED): discriminating tag 'func…,,,,,,,,,,,,
caug7-cm6-drop2-3rdtop-6,Caug7 — Fret 10 — Drop 2,aug7,drop2,"chord-melody, melody-3rd",,"drop-2, block",MED,drop-2 (MED): derived from category='drop2' | block (MED): derived from category='drop2',,,,,,,,,,,,
cmaj7-cm7-drop3-7str-7,Cmaj7 — 7-str bass — Drop 3,maj7,drop3,"drop3, 7-string, van-eps","drop-3, van-eps",,HIGH,"drop-3 (MED): existing tag 'drop-3' (generic descriptor) confirmed by master signal in same voicing; vocab attributes to ['jody-fisher', 'joe-pass'] | van-eps (HIGH): existing voi…",,,,,,,,,,,,
cdim7-drop3-a-shape-6,Cdim7 — A shape — Drop 3 (b5 on top),dim7,drop3,"drop3, a-string-root",,drop-3,MED,drop-3 (MED): derived from category='drop3',,,,,,,,,,,,
c13sus4-cv6-extended-6str-17,C13sus4 — Fret 8 — Extended (root on top),13sus4,extended,"calculated, laukens-coverage","dirk-laukens, chord-function-driven, function-assigned, substitution-derivation",,MED,dirk-laukens (MED): master 'dirk-laukens' (id-as-tag) | chord-function-driven (MED): discriminating tag 'chord-function-driven' | function-assigned (MED): discriminating tag 'func…,,,,,,,,,,,,
c13-chordsdb-f2-6,C13 — Fret 2 — Extended,dom13,extended,"imported, chords-db",,,NONE,,,,,,,,,,,,,
cquartal-d-upper-6-cm6,Cquartal — Str 1-2-3-4 — Quartal (4th on top),quartal,quartal,"quartal, c-dorian, str-1-2-3-4",quartal,,HIGH,quartal (HIGH): existing voicing.tags='quartal' matches master voicingStyleTag (attributes to ['jim-hall']),,,,,,,,,,,,
c7-cm7-shell-7str-7,C7 — 7-str root — Shell (3rd on top),dom7,shell,"shell, 7-string, van-eps","shell, van-eps",,HIGH,shell (MED): existing tag 'shell' (generic descriptor) confirmed by master signal in same voicing; vocab attributes to ['peter-bernstein'] | van-eps (HIGH): existing voicing.tags=…,,,,,,,,,,,,
c7-shell-e-shape-6-cm6,C7 — E shape — Shell (3rd on top),dom7,shell,"shell, guide-tone, e-string-root",shell,,MED,shell (MED): existing tag 'shell' + category=shell + quality='dom7' matches bernstein R-3-7 shell principle,,,,,,,,,,,,
caug7-shell-e-shape-6-cm6,Caug7 — E shape — Shell (3rd on top),aug7,shell,"shell, e-string-root",,,NONE,,,,,,,,,,,,,
c13b9-cv7-altered-7str-27,C13b9 — Fret 2 — Altered (3rd on top),13b9,altered,"calculated, laukens-coverage","dirk-laukens, chord-function-driven, function-assigned, substitution-derivation",altered-dominant,MED,dirk-laukens (MED): master 'dirk-laukens' (id-as-tag) | chord-function-driven (MED): discriminating tag 'chord-function-driven' | function-assigned (MED): discriminating tag 'func…,,,,,,,,,,,,
